Date,Open,High,Low,Close,Adj_close,Volume,Normalized_sentiment
1962-04-27,6.14767504,6.25580978,6.14767504,6.15568495,1.45545626,43900,0.5
1962-04-30,6.15568495,6.16369486,6.12364483,6.13165522,1.44977415,49900,0.5
1962-05-01,6.13165522,6.13165522,6.06357002,6.13165522,1.44977415,57900,0.5
1962-05-02,6.13165522,6.13966513,5.9554348,6.00750017,1.42041934,42500,0.5
1962-05-03,6.0315299,6.10762501,6.0315299,6.10762501,1.44409263,23900,0.5
1962-05-04,6.06357002,6.06357002,5.93941498,5.9554348,1.40810871,29900,0.5
1962-05-07,5.93941498,5.93941498,5.75518513,5.81525993,1.37496543,66500,0.5
1962-05-08,5.81525993,5.82326984,5.73115492,5.73115492,1.35507929,69900,0.5
1962-05-09,5.70712519,5.70712519,5.62302017,5.6630702,1.33898103,65900,0.5
1962-05-10,5.6630702,5.73916483,5.60699987,5.62302017,1.32951212,82500,0.5
1962-05-11,5.62302017,5.65505981,5.56294489,5.60699987,1.3257252,41900,0.5
1962-05-14,5.60699987,5.63903999,5.45481014,5.63903999,1.33330071,61900,0.5
1962-05-15,5.63903999,5.72314501,5.63903999,5.65505981,1.34424949,82500,0.5
1962-05-16,5.65505981,5.65505981,5.45481014,5.52289486,1.31283224,83800,0.5
1962-05-17,5.52289486,5.53090477,5.43077993,5.43878984,1.29283845,62500,0.5
1962-05-18,5.43878984,5.44680023,5.42277002,5.42277002,1.28903079,35900,0.5
1962-05-21,5.42277002,5.45481014,5.42277002,5.42277002,1.28903079,13900,0.5
1962-05-22,5.42277002,5.44680023,5.42277002,5.43878984,1.29283845,26500,0.5
1962-05-23,5.43077993,5.43077993,5.4067502,5.41476011,1.28712702,37900,0.5
1962-05-24,5.41476011,5.44680023,5.30662489,5.30662489,1.26142275,45900,0.5
1962-05-25,5.30662489,5.3146348,5.22251987,5.23854017,1.24523854,47900,0.5
1962-05-28,5.23854017,5.4067502,5.20650005,5.20650005,1.23762238,84500,0.5
1962-05-29,5.20650005,5.43878984,4.91413498,5.43878984,1.29283845,120400,0.5
1962-05-31,5.43878984,5.50687504,5.30662489,5.46282005,1.29855204,53900,0.5
1962-06-01,5.46282005,5.46282005,5.43878984,5.46282005,1.29855204,76500,0.5
1962-06-04,5.46282005,5.53891516,5.44680023,5.45481014,1.29664779,79900,0.5
1962-06-05,5.45481014,5.60699987,5.44680023,5.51488495,1.31092763,58500,0.5
1962-06-06,5.53891516,5.60699987,5.53891516,5.56294489,1.32235193,35900,0.5
1962-06-07,5.54692507,5.54692507,5.44680023,5.45481014,1.29664779,23900,0.5
1962-06-08,5.45481014,5.54692507,5.44680023,5.53891516,1.3166405,40500,0.5
1962-06-11,5.53891516,5.55493498,5.46282005,5.46282005,1.29855204,58500,0.5
1962-06-12,5.45481014,5.45481014,5.32264519,5.32264519,1.26523125,55900,0.5
1962-06-13,5.32264519,5.33866501,5.22251987,5.22251987,1.24143052,49900,0.5
1962-06-14,5.22251987,5.25455999,5.05430984,5.05430984,1.20144558,45900,0.5
1962-06-15,5.05430984,5.23854017,5.0222702,5.20650005,1.23762238,96500,0.5
1962-06-18,5.20650005,5.25455999,5.12239504,5.25455999,1.24904513,67900,0.5
1962-06-19,5.24655008,5.24655008,5.14642477,5.20650005,1.23762238,55900,0.5
1962-06-20,5.20650005,5.22251987,5.10637522,5.10637522,1.21382236,53900,0.5
1962-06-21,5.03829002,5.03829002,4.93816519,4.9461751,1.17574239,66500,0.5
1962-06-22,4.90612507,4.90612507,4.72189522,4.72990513,1.12433279,42500,0.5
1962-06-25,4.72990513,4.72990513,4.50562477,4.55368519,1.08244395,96500,0.5
1962-06-26,4.65381002,4.83803988,4.65381002,4.73791504,1.12623632,115800,0.5
