Date,Open,High,Low,Close,Adj_close,Volume,Normalized_sentiment
,345.67001343,352.29998779,343.7399902,344.57000732,344.57000732,5685800,0.5
,323.0,327.13000488,299.73001099,302.2600098,302.2600098,24150800,0.5
,342.20333862,356.92999268,338.68667603,343.50332642,343.50332642,66743400,0.5
,136.55999756,136.67999268,127.01000214,128.77999878,128.77999878,195680300,0.5
,25.27000046,25.46999931,23.75,24.03000069,24.03000069,2371500,0.5
,27.19000053,27.73999977,26.61000061,26.76000023,26.76000023,1246300,0.5
,208.71000671,210.47000122,200.77999878,204.72000122,204.72000122,4038700,0.5
,247.25,248.67999268,240.75,243.7599945,243.7599945,7732300,0.5
,345.0,350.58999634,342.6000061,350.01998901,350.01998901,4888300,0.5
,279.2666626,283.33334351,277.66665649,281.5166626,281.5166626,76101000,0.5
,347.23666382,351.55667114,331.66665649,331.8833313,331.8833313,75442500,0.5
,127.26000214,129.99000549,124.30999756,127.16999817,127.16999817,170291900,0.5
,35.0,35.45000076,34.70999908,35.36000061,35.36000061,1194800,0.5
,149.80000305,152.47999573,146.55000305,150.1000061,150.1000061,6188400,0.5
,222.86999512,223.25,213.2599945,219.30999756,219.30999756,4764400,0.5
,312.0,322.10998535,311.0,320.52999878,320.52999878,4352200,0.5
,306.1000061,315.13000488,298.79998779,310.11999512,310.11999512,11658600,0.5
,424.5,430.70001221,421.70999146,430.2600098,430.2600098,9532100,0.5
,24.03000069,24.45000076,22.37000084,22.62000084,22.62000084,2279900,0.5
,26.89999962,27.0,26.39999962,26.60000038,26.60000038,662300,0.5
,193.86999512,194.11999512,187.03999329,191.92999268,191.92999268,4503200,0.5
,199.3999939,201.27999878,191.25,198.69999695,198.69999695,5838600,0.5
,245.46000671,246.0,243.0099945,244.72999573,244.72999573,4204300,0.5
,286.24667358,286.5,279.09332275,283.4833374,283.4833374,76997700,0.5
,336.5766602,347.22000122,331.33334351,332.08999634,332.08999634,70488600,0.5
,128.67999268,133.50999451,127.34999847,133.41999817,133.41999817,138858100,0.5
,23.12000084,23.59000015,22.70999908,23.04000092,23.04000092,1217000,0.5
,171.24000549,177.28999329,170.80999756,176.67999268,176.67999268,9734700,0.5
,189.55000305,198.67999268,189.5099945,196.57000732,196.57000732,4153000,0.5
,201.55000305,203.22999573,195.02000427,199.97000122,199.97000122,3166200,0.5
,530.25,548.58001709,528.40997314,547.20001221,547.20001221,17803500,0.5
,285.0,285.2399902,280.47332764,281.6633301,281.6633301,61563300,0.5
,332.11334229,334.8500061,313.5,314.6333313,314.6333313,103416000,0.5
,34.56000137,35.54999924,34.25999832,35.18999863,35.18999863,1920200,0.5
,177.80999756,180.32000732,174.75999451,178.55999756,178.55999756,7022600,0.5
,197.0,203.24000549,195.19999695,201.61999512,201.61999512,4116900,0.5
,204.80000305,205.5,199.02999878,202.55000305,202.55000305,3124100,0.5
,349.3999939,357.82998657,349.20001221,351.55999756,351.55999756,6210400,0.5
,304.82000732,308.0,295.5,298.92001343,298.92001343,12066700,0.5
,571.89001465,594.5,559.09997559,569.55999756,569.55999756,31369000,0.5
,278.10333252,282.66665649,276.20666504,282.21331787,282.21331787,60199500,0.5
,26.80999947,27.20999908,26.60000038,26.77000046,26.77000046,594600,0.5
,35.02000046,36.24000168,34.95999908,36.0,36.0,1564300,0.5
