Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Summarized,Sentiment_score,UUID
2020-06-01T11:39:28.000+08:00,Goldman Sachs Revises Its Gloomy Outlook On Markets Following Sharp Rebound In Stocks,JPM,https://www.benzinga.com/news/20/06/16146987/goldman-sachs-revises-its-gloomy-outlook-on-markets-following-sharp-rebound-in-stocks,Shivdeep Dhaliwal,,,,0,0,fb5674a7-e000-4ad7-9f9d-d748bc80bd63
2020-05-29T15:58:14.000+08:00,Shares of several financial services companies are trading lower amid market volatility as investors await Trump's China press conference later today.,JPM,https://www.benzinga.com/wiim/20/05/16139563/shares-of-several-financial-services-companies-are-trading-lower-amid-market-volatility-as-investors,Benzinga Newsdesk,,,,0,0,13d06ed9-1ed4-42e0-9a54-efd5728774b7
2020-05-29T15:58:14.000+08:00,Shares of several financial services companies are trading lower amid market volatility as investors await Trump's China press conference later today.,JPM,https://www.benzinga.com/wiim/20/05/16139563/shares-of-several-financial-services-companies-are-trading-lower-amid-market-volatility-as-investors,Benzinga Newsdesk,,,,0,0,853c2031-72ff-4a0b-a453-4d99d64e9a60
2020-05-29T12:30:53.000+08:00,15 US Banks Facing Currency Rigging Lawsuit Brought By Large Investors,JPM,https://www.benzinga.com/news/20/05/16135150/fifteen-us-banks-facing-currency-rigging-lawsuit-brought-by-large-investors,Shivdeep Dhaliwal,,,,0,0,9d58a24e-0727-4f1c-bae2-274349159367
2020-05-29T12:30:53.000+08:00,15 US Banks Facing Currency Rigging Lawsuit Brought By Large Investors,JPM,https://www.benzinga.com/news/20/05/16135150/fifteen-us-banks-facing-currency-rigging-lawsuit-brought-by-large-investors,Shivdeep Dhaliwal,,,,0,0,8f9a7cb7-0a3e-40fd-8042-0b8872227656
2020-05-29T08:00:00.000+08:00,Should iShares Russell Top 200 Value ETF (IWX) Be on Your Investing Radar?,JPM,http://www.zacks.com/stock/news/951344/should-ishares-russell-top-200-value-etf-iwx-be-on-your-investing-radar?cid=CS-BENZ-FT-style_box_etf-951344,Zacks,,,,0,0,67221da7-f120-4141-a2d2-e109313dc7c5
2020-05-29T08:00:00.000+08:00,Stocks to Buy in a Post-Pandemic World,JPM,https://talkmarkets.com/content/stocks-to-buy-in-a-post-pandemic-world?post=263702,TalkMarkets,,,,0,0,2350ed2b-7290-403f-9f26-0eec745c2f4b
2020-05-29T08:00:00.000+08:00,Should iShares Russell Top 200 Value ETF (IWX) Be on Your Investing Radar?,JPM,http://www.zacks.com/stock/news/951344/should-ishares-russell-top-200-value-etf-iwx-be-on-your-investing-radar?cid=CS-BENZ-FT-style_box_etf-951344,Zacks,,,,0,0,c5040b6d-e395-4e98-8006-526354a92319
2020-05-29T08:00:00.000+08:00,Stocks to Buy in a Post-Pandemic World,JPM,https://talkmarkets.com/content/stocks-to-buy-in-a-post-pandemic-world?post=263702,TalkMarkets,,,,0,0,64ac3895-ab4b-4843-9db9-ab99319d357b
2020-05-28T08:00:00.000+08:00,Zacks Earnings Trends Highlights: JPMorgan and Disney,JPM,http://www.zacks.com/stock/news/950117/zacks-earnings-trends-highlights-jpmorgan-and-disney?cid=CS-BENZ-FT-press_releases-950117,Zacks,,,,0,0,b123b7a2-1275-415c-8db8-82504a3a8a11
2020-05-28T08:00:00.000+08:00,FOMO Trading Driving The Rotation Towards Value Stocks,JPM,http://www.zacks.com/stock/news/949419/fomo-trading-driving-the-rotation-towards-value-stocks?cid=CS-BENZ-FT-video_blog-949419,Zacks,,,,0,0,493e4aa4-40bf-4595-a1a1-cbbbe4b812cc
2020-05-28T08:00:00.000+08:00,"The Zacks Analyst Blog Highlights: Alphabet, Visa, Bank of America, JPMorgan Chase and NVIDIA",JPM,http://www.zacks.com/stock/news/950069/the-zacks-analyst-blog-highlights-alphabet-visa-bank-of-america-jpmorgan-chase-and-nvidia?cid=CS-BENZ-FT-press_releases-950069,Zacks,,,,0,0,1201a119-e9cf-4af5-95ff-b0cd5666fb39
2020-05-28T08:00:00.000+08:00,"The Zacks Analyst Blog Highlights: JPMorgan, American Express, Boeing and Virgin Galactic",JPM,http://www.zacks.com/stock/news/950067/the-zacks-analyst-blog-highlights-jpmorgan-american-express-boeing-and-virgin-galactic?cid=CS-BENZ-FT-press_releases-950067,Zacks,,,,0,0,87367561-ebe0-4a00-8b17-4c767aa10f13
2020-05-28T08:00:00.000+08:00,Digital Banking Surge to Continue Post Coronavirus Pandemic,JPM,http://www.zacks.com/stock/news/949334/digital-banking-surge-to-continue-post-coronavirus-pandemic?cid=CS-BENZ-FT-analyst_blog|industry_focus-949334,Zacks,,,,0,0,eeae03d0-35fa-4f1f-a580-7d41ec52649c
2020-05-28T08:00:00.000+08:00,Markets Are Up Again,JPM,http://www.zacks.com/stock/news/949260/markets-are-up-again?cid=CS-BENZ-FT-economic_highlights-949260,Zacks,,,,0,0,6879e7f8-80ed-42b3-b256-a1f9f42c9cc7
2020-05-28T08:00:00.000+08:00,HSBC Intends to Acquire Remaining Stake of German Division,JPM,http://www.zacks.com/stock/news/949256/hsbc-intends-to-acquire-remaining-stake-of-german-division?cid=CS-BENZ-FT-analyst_blog|company_news_-_finance_sector-949256,Zacks,,,,0,0,6d3b27ba-b44e-4996-a42f-656560c40347
2020-05-28T08:00:00.000+08:00,Goldman & JPMorgan Analyze Global Economic Situation Ahead,JPM,http://www.zacks.com/stock/news/949131/goldman-jpmorgan-analyze-global-economic-situation-ahead?cid=CS-BENZ-FT-analyst_blog|company_news_-_finance_sector-949131,Zacks,,,,0,0,b9f4f95a-feeb-455b-a41a-e4c75b86cd8d
2020-05-28T08:00:00.000+08:00,"Dow Holds Above 25,000, But US-China Spat Looms",JPM,https://talkmarkets.com/content/dow-holds-above-25000-but-us-china-spat-looms?post=263565,TalkMarkets,,,,0,0,744458ad-2455-4a8b-ad74-0342193deb08
2020-05-28T08:00:00.000+08:00,Zacks Earnings Trends Highlights: JPMorgan and Disney,JPM,http://www.zacks.com/stock/news/950117/zacks-earnings-trends-highlights-jpmorgan-and-disney?cid=CS-BENZ-FT-press_releases-950117,Zacks,,,,0,0,c1578d51-d411-47e1-80fd-56ec574149e2
2020-05-28T08:00:00.000+08:00,FOMO Trading Driving The Rotation Towards Value Stocks,JPM,http://www.zacks.com/stock/news/949419/fomo-trading-driving-the-rotation-towards-value-stocks?cid=CS-BENZ-FT-video_blog-949419,Zacks,,,,0,0,8b2c47b6-3eb0-41e1-9395-afc7d19f6b8b
