Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2009-12-24,,1.0,2009-12-22,2,2.26424112
2009-12-25,,1.0,2009-12-22,3,2.55373968
2009-12-26,,1.0,2009-12-22,4,2.72932943
2009-12-27,,1.0,2009-12-22,5,2.83583
2009-12-28,,1.0,2009-12-22,6,2.90042586
2009-12-29,,1.0,2009-12-22,7,2.93960523
2009-12-30,,1.0,2009-12-22,8,2.96336872
2009-12-31,,1.0,2009-12-22,9,2.97778201
2010-01-01,,1.0,2009-12-22,10,2.98652411
2010-01-02,,1.0,2009-12-22,11,2.99182646
2010-01-03,,1.0,2009-12-22,12,2.9950425
2010-01-04,,1.0,2009-12-22,13,2.99699312
2010-01-05,1.0,1.0,2010-01-05,0,1.0
2010-01-06,,1.0,2010-01-05,1,1.78693868
2010-01-07,,1.0,2010-01-05,2,2.26424112
2010-01-08,,1.0,2010-01-05,3,2.55373968
2010-01-09,,1.0,2010-01-05,4,2.72932943
2010-01-10,,1.0,2010-01-05,5,2.83583
2010-01-11,,1.0,2010-01-05,6,2.90042586
2010-01-12,,1.0,2010-01-05,7,2.93960523
2010-01-13,,1.0,2010-01-05,8,2.96336872
2010-01-14,,1.0,2010-01-05,9,2.97778201
2010-01-15,,1.0,2010-01-05,10,2.98652411
2010-01-16,,1.0,2010-01-05,11,2.99182646
2010-01-17,,1.0,2010-01-05,12,2.9950425
2010-01-18,,1.0,2010-01-05,13,2.99699312
2010-01-19,,1.0,2010-01-05,14,2.99817624
2010-01-20,,1.0,2010-01-05,15,2.99889383
2010-01-21,,1.0,2010-01-05,16,2.99932907
2010-01-22,,1.0,2010-01-05,17,2.99959306
2010-01-23,,1.0,2010-01-05,18,2.99975318
2010-01-24,,1.0,2010-01-05,19,2.9998503
2010-01-25,,1.0,2010-01-05,20,2.9999092
2010-01-26,4.0,4.0,2010-01-26,0,4.0
2010-01-27,,4.0,2010-01-26,1,3.60653066
2010-01-28,2.83333333,2.83333333,2010-01-28,0,2.83333333
2010-01-29,2.5,2.5,2010-01-29,0,2.5
2010-01-30,,2.5,2010-01-29,1,2.69673467
2010-01-31,,2.5,2010-01-29,2,2.81606028
2010-02-01,3.5,3.5,2010-02-01,0,3.5
2010-02-02,,3.5,2010-02-01,1,3.30326533
2010-02-03,1.5,1.5,2010-02-03,0,1.5
2010-02-04,,1.5,2010-02-03,1,2.09020401
2010-02-05,2.5,2.5,2010-02-05,0,2.5
2010-02-06,,2.5,2010-02-05,1,2.69673467
2010-02-07,,2.5,2010-02-05,2,2.81606028
2010-02-08,,2.5,2010-02-05,3,2.88843492
2010-02-09,,2.5,2010-02-05,4,2.93233236
2010-02-10,,2.5,2010-02-05,5,2.9589575
2010-02-11,,2.5,2010-02-05,6,2.97510647
2010-02-12,,2.5,2010-02-05,7,2.98490131
2010-02-13,,2.5,2010-02-05,8,2.99084218
2010-02-14,,2.5,2010-02-05,9,2.9944455
2010-02-15,,2.5,2010-02-05,10,2.99663103
2010-02-16,,2.5,2010-02-05,11,2.99795661
2010-02-17,,2.5,2010-02-05,12,2.99876062
2010-02-18,2.0,2.0,2010-02-18,0,2.0
2010-02-19,,2.0,2010-02-18,1,2.39346934
2010-02-20,,2.0,2010-02-18,2,2.63212056
2010-02-21,,2.0,2010-02-18,3,2.77686984
2010-02-22,,2.0,2010-02-18,4,2.86466472
2010-02-23,4.0,4.0,2010-02-23,0,4.0
2010-02-24,,4.0,2010-02-23,1,3.60653066
2010-02-25,3.0,3.0,2010-02-25,0,3.0
2010-02-26,,3.0,2010-02-25,1,3.0
2010-02-27,,3.0,2010-02-25,2,3.0
2010-02-28,,3.0,2010-02-25,3,3.0
2010-03-01,,3.0,2010-02-25,4,3.0
2010-03-02,,3.0,2010-02-25,5,3.0
2010-03-03,3.0,3.0,2010-03-03,0,3.0
2010-03-04,,3.0,2010-03-03,1,3.0
2010-03-05,,3.0,2010-03-03,2,3.0
2010-03-06,,3.0,2010-03-03,3,3.0
2010-03-07,,3.0,2010-03-03,4,3.0
2010-03-08,1.0,1.0,2010-03-08,0,1.0
2010-03-09,,1.0,2010-03-08,1,1.78693868
2010-03-10,,1.0,2010-03-08,2,2.26424112
2010-03-11,,1.0,2010-03-08,3,2.55373968
2010-03-12,,1.0,2010-03-08,4,2.72932943
2010-03-13,,1.0,2010-03-08,5,2.83583
2010-03-14,,1.0,2010-03-08,6,2.90042586
2010-03-15,2.25,2.25,2010-03-15,0,2.25
2010-03-16,,2.25,2010-03-15,1,2.54510201
2010-03-17,4.0,4.0,2010-03-17,0,4.0
2010-03-18,,4.0,2010-03-17,1,3.60653066
2010-03-19,,4.0,2010-03-17,2,3.36787944
2010-03-20,,4.0,2010-03-17,3,3.22313016
2010-03-21,3.0,3.0,2010-03-21,0,3.0
2010-03-22,5.0,5.0,2010-03-22,0,5.0
2010-03-23,4.0,4.0,2010-03-23,0,4.0
2010-03-24,1.0,1.0,2010-03-24,0,1.0
2010-03-25,,1.0,2010-03-24,1,1.78693868
2010-03-26,,1.0,2010-03-24,2,2.26424112
2010-03-27,,1.0,2010-03-24,3,2.55373968
2010-03-28,,1.0,2010-03-24,4,2.72932943
2010-03-29,2.0,2.0,2010-03-29,0,2.0
2010-03-30,,2.0,2010-03-29,1,2.39346934
2010-03-31,,2.0,2010-03-29,2,2.63212056
2010-04-01,3.5,3.5,2010-04-01,0,3.5
2010-04-02,,3.5,2010-04-01,1,3.30326533
2010-04-03,,3.5,2010-04-01,2,3.18393972
2010-04-04,,3.5,2010-04-01,3,3.11156508
2010-04-05,,3.5,2010-04-01,4,3.06766764
2010-04-06,,3.5,2010-04-01,5,3.0410425
2010-04-07,,3.5,2010-04-01,6,3.02489353
2010-04-08,,3.5,2010-04-01,7,3.01509869
2010-04-09,,3.5,2010-04-01,8,3.00915782
2010-04-10,,3.5,2010-04-01,9,3.0055545
2010-04-11,,3.5,2010-04-01,10,3.00336897
2010-04-12,,3.5,2010-04-01,11,3.00204339
2010-04-13,,3.5,2010-04-01,12,3.00123938
2010-04-14,,3.5,2010-04-01,13,3.00075172
2010-04-15,,3.5,2010-04-01,14,3.00045594
2010-04-16,,3.5,2010-04-01,15,3.00027654
2010-04-17,,3.5,2010-04-01,16,3.00016773
2010-04-18,,3.5,2010-04-01,17,3.00010173
2010-04-19,2.64285714,2.64285714,2010-04-19,0,2.64285714
2010-04-20,,2.64285714,2010-04-19,1,2.78338191
2010-04-21,3.5,3.5,2010-04-21,0,3.5
2010-04-22,,3.5,2010-04-21,1,3.30326533
2010-04-23,,3.5,2010-04-21,2,3.18393972
2010-04-24,,3.5,2010-04-21,3,3.11156508
2010-04-25,,3.5,2010-04-21,4,3.06766764
2010-04-26,,3.5,2010-04-21,5,3.0410425
2010-04-27,,3.5,2010-04-21,6,3.02489353
2010-04-28,4.0,4.0,2010-04-28,0,4.0
