Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2009-12-02,4.0,4.0,2009-12-02,0,4.0
2009-12-03,,4.0,2009-12-02,1,3.60653066
2009-12-04,3.0,3.0,2009-12-04,0,3.0
2009-12-05,,3.0,2009-12-04,1,3.0
2009-12-06,,3.0,2009-12-04,2,3.0
2009-12-07,,3.0,2009-12-04,3,3.0
2009-12-08,,3.0,2009-12-04,4,3.0
2009-12-09,2.0,2.0,2009-12-09,0,2.0
2009-12-10,,2.0,2009-12-09,1,2.39346934
2009-12-11,2.33333333,2.33333333,2009-12-11,0,2.33333333
2009-12-12,,2.33333333,2009-12-11,1,2.59564623
2009-12-13,,2.33333333,2009-12-11,2,2.75474704
2009-12-14,1.0,1.0,2009-12-14,0,1.0
2009-12-15,,1.0,2009-12-14,1,1.78693868
2009-12-16,2.0,2.0,2009-12-16,0,2.0
2009-12-17,,2.0,2009-12-16,1,2.39346934
2009-12-18,,2.0,2009-12-16,2,2.63212056
2009-12-19,,2.0,2009-12-16,3,2.77686984
2009-12-20,,2.0,2009-12-16,4,2.86466472
2009-12-21,3.875,3.875,2009-12-21,0,3.875
2009-12-22,2.25,2.25,2009-12-22,0,2.25
2009-12-23,,2.25,2009-12-22,1,2.54510201
2009-12-24,2.0,2.0,2009-12-24,0,2.0
2009-12-25,,2.0,2009-12-24,1,2.39346934
2009-12-26,,2.0,2009-12-24,2,2.63212056
2009-12-27,,2.0,2009-12-24,3,2.77686984
2009-12-28,4.5,4.5,2009-12-28,0,4.5
2009-12-29,2.16666667,2.16666667,2009-12-29,0,2.16666667
2009-12-30,,2.16666667,2009-12-29,1,2.49455778
2009-12-31,,2.16666667,2009-12-29,2,2.6934338
2010-01-01,,2.16666667,2009-12-29,3,2.8140582
2010-01-02,,2.16666667,2009-12-29,4,2.8872206
2010-01-03,,2.16666667,2009-12-29,5,2.93159583
2010-01-04,2.75,2.75,2010-01-04,0,2.75
2010-01-05,,2.75,2010-01-04,1,2.84836734
2010-01-06,2.0,2.0,2010-01-06,0,2.0
2010-01-07,3.25,3.25,2010-01-07,0,3.25
2010-01-08,2.5,2.5,2010-01-08,0,2.5
2010-01-09,,2.5,2010-01-08,1,2.69673467
2010-01-10,,2.5,2010-01-08,2,2.81606028
2010-01-11,2.88888889,2.88888889,2010-01-11,0,2.88888889
2010-01-12,2.22857143,2.22857143,2010-01-12,0,2.22857143
2010-01-13,2.6,2.6,2010-01-13,0,2.6
2010-01-14,4.0,4.0,2010-01-14,0,4.0
2010-01-15,3.25,3.25,2010-01-15,0,3.25
2010-01-16,,3.25,2010-01-15,1,3.15163266
2010-01-17,4.625,4.625,2010-01-17,0,4.625
2010-01-18,5.0,5.0,2010-01-18,0,5.0
2010-01-19,2.5,2.5,2010-01-19,0,2.5
2010-01-20,2.25,2.25,2010-01-20,0,2.25
2010-01-21,2.5,2.5,2010-01-21,0,2.5
2010-01-22,3.5,3.5,2010-01-22,0,3.5
2010-01-23,,3.5,2010-01-22,1,3.30326533
2010-01-24,3.5,3.5,2010-01-24,0,3.5
2010-01-25,,3.5,2010-01-24,1,3.30326533
2010-01-26,,3.5,2010-01-24,2,3.18393972
2010-01-27,3.5,3.5,2010-01-27,0,3.5
2010-01-28,1.5,1.5,2010-01-28,0,1.5
2010-01-29,,1.5,2010-01-28,1,2.09020401
2010-01-30,,1.5,2010-01-28,2,2.44818084
2010-01-31,,1.5,2010-01-28,3,2.66530476
2010-02-01,2.75,2.75,2010-02-01,0,2.75
2010-02-02,2.5,2.5,2010-02-02,0,2.5
2010-02-03,3.0,3.0,2010-02-03,0,3.0
2010-02-04,3.5,3.5,2010-02-04,0,3.5
2010-02-05,1.0,1.0,2010-02-05,0,1.0
